Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Varigonda,14.375,80.055,28_515_shc_2025-26.6794,50.0,32.3,12.0,0.41,0.0766000002622604,0.0873000025749206,0.1201499998569488,0.1454000025987625,0.2149499952793121,0.2995499968528747,0.3515999913215637,0.3474000096321106,0.3917999863624573,0.3948000073432922,0.3668499886989593,0.2540499866008758,0.4099026024341583,0.2355294972658157,0.3226734070320265,0.305197428300958,1.0559872388839722,10,2,90,174,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,333,343,324
Prabagiripatnam,14.382,79.728,28_515_shc_2023-24.6694,201.0,35.3,316.6,0.44,0.0805666670203208,0.0681823566555976,0.0916611105203628,0.0981523841619491,0.1640428602695465,0.2362333387136459,0.2674533426761627,0.2522200047969818,0.2988923192024231,0.3435203731060028,0.3224000036716461,0.2280333340167999,0.4397253394126892,0.2118304371833801,0.2896516136686936,0.2717649749134906,1.2782491445541382,49,5,281,195,0.2022132204290022,303.61117520248683,302.8161758623625,0.0008848388521618,298,313,389
Eduru - I,14.382,80.118,28_515_shc_2025-26.7734,88.0,63.0,192.0,0.11,0.0722142830491066,0.0968599990010261,0.1277599930763244,0.1518333405256271,0.186499997973442,0.2527500092983246,0.292600005865097,0.2953333258628845,0.3201999962329864,0.3169625103473663,0.348125010728836,0.2453333288431167,0.3209094107151031,0.2258733958005905,0.2424177263139718,0.2272567074458194,1.178752899169922,9,2,64,174,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,320,336,344
Eduru - I,14.382,80.118,28_515_shc_2025-26.6705,151.0,48.38,105.0,0.26,0.0722142830491066,0.0968599990010261,0.1277599930763244,0.1518333405256271,0.186499997973442,0.2527500092983246,0.292600005865097,0.2953333258628845,0.3201999962329864,0.3169625103473663,0.348125010728836,0.2453333288431167,0.3209094107151031,0.2258733958005905,0.2424177263139718,0.2272567074458194,1.178752899169922,9,2,64,174,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,320,336,344
Eduru - I,14.382,80.118,28_515_shc_2025-26.6792,88.0,34.6,329.0,0.16,0.0722142830491066,0.0968599990010261,0.1277599930763244,0.1518333405256271,0.186499997973442,0.2527500092983246,0.292600005865097,0.2953333258628845,0.3201999962329864,0.3169625103473663,0.348125010728836,0.2453333288431167,0.3209094107151031,0.2258733958005905,0.2424177263139718,0.2272567074458194,1.178752899169922,9,2,64,174,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,320,336,344
Tegacherla,14.385,79.415,28_515_shc_2025-26.2038,50.0,10.0,304.2,0.11,0.0458000004291534,0.0565249994397163,0.0851999968290329,0.0838999971747398,0.1481000036001205,0.2695833444595337,0.3373999893665313,0.3454000055789947,0.3780499994754791,0.3560900092124939,0.2329500019550323,0.1340000033378601,0.6091311573982239,0.3997973501682281,0.4588162186179725,0.4220919094415724,0.6744354367256165,127,2,153,177,0.1908971217640659,303.37220864546924,302.636809600027,0.0007719350810813,330,264,405
Thotapalle,14.385,80.105,28_515_shc_2025-26.3914,163.0,40.7,199.0,0.21,0.079681821167469,0.1003222241997718,0.1393499970436096,0.1703249961137771,0.2204000055789947,0.3101444542407989,0.3686714172363281,0.3886090815067291,0.4125666618347168,0.4021174013614654,0.3527750074863434,0.2496999949216842,0.390536367893219,0.2762012481689453,0.3291093823748531,0.3092035047405176,0.907788872718811,8,4,244,192,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,321,334,344
Koduru Khandrika,14.388,80.142,28_515_shc_2025-26.10115,38.0,22.3,335.0,0.1,0.0747761875391006,0.089966669678688,0.1261399984359741,0.1513333320617675,0.2057500034570694,0.2790142893791199,0.3257499933242798,0.3419333398342132,0.3650583326816559,0.3521651923656463,0.3452000021934509,0.2379916608333587,0.3864035904407501,0.2486534267663955,0.3025044872699177,0.2878381201625671,1.0095535516738892,5,0,0,180,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,316,363,321
Varigonda,14.390169,80.036942,28_515_shc_2025-26.3204,138.0,13.1,25.0,0.2,0.0825800001621246,0.1159999966621398,0.1468500047922134,0.1634666621685028,0.2019000053405761,0.2529428601264953,0.2802999913692474,0.2901250123977661,0.309374988079071,0.3227333426475525,0.3378500044345855,0.2757250070571899,0.2792342901229858,0.1793100088834762,0.2260262849280482,0.1992336242137482,1.164497971534729,12,1,134,177,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,328,330
Varigonda,14.390169,80.036942,28_515_shc_2025-26.8197,50.0,13.1,12.0,0.53,0.0825800001621246,0.1159999966621398,0.1468500047922134,0.1634666621685028,0.2019000053405761,0.2529428601264953,0.2802999913692474,0.2901250123977661,0.309374988079071,0.3227333426475525,0.3378500044345855,0.2757250070571899,0.2792342901229858,0.1793100088834762,0.2260262849280482,0.1992336242137482,1.164497971534729,12,1,134,177,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,328,330
Varigonda,14.390169,80.036942,28_515_shc_2025-26.982,113.0,16.9,12.0,0.25,0.0825800001621246,0.1159999966621398,0.1468500047922134,0.1634666621685028,0.2019000053405761,0.2529428601264953,0.2802999913692474,0.2901250123977661,0.309374988079071,0.3227333426475525,0.3378500044345855,0.2757250070571899,0.2792342901229858,0.1793100088834762,0.2260262849280482,0.1992336242137482,1.164497971534729,12,1,134,177,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,328,330
Varigonda,14.390691,80.044918,28_515_shc_2025-26.3604,151.0,27.6,19.0,0.42,0.0696000009775161,0.0938249975442886,0.1275666654109954,0.1609500050544738,0.2177166640758514,0.3050499856472015,0.3823499977588653,0.3925749957561493,0.4156000018119812,0.4100125133991241,0.3674499988555908,0.2436500042676925,0.4184544384479522,0.286516010761261,0.3499739126398934,0.3297857058780581,0.9359995126724244,9,1,270,183,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,324,334
Varigonda,14.391096,80.03992,28_515_shc_2025-26.11616,50.0,15.4,130.0,0.36,0.0604666657745838,0.0775875002145767,0.1176000013947486,0.1177000030875206,0.1912750005722046,0.283133327960968,0.3314250111579895,0.337799996137619,0.3623499870300293,0.3811857104301452,0.3048999905586242,0.1877499967813491,0.4832052588462829,0.2769456207752228,0.3763438409559393,0.3455258920385996,0.9026050567626952,13,2,90,174,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,326,333
Varigonda,14.391189,80.035932,28_515_shc_2025-26.11051,151.0,56.83,552.0,0.24,0.0869000032544136,0.146599993109703,0.1746000051498413,0.209999993443489,0.2161000072956085,0.2448000013828277,0.2686749994754791,0.2939000129699707,0.293500006198883,0.2991699874401092,0.3510999977588653,0.2926999926567077,0.1665013283491134,0.1525490283966064,0.1442175778096304,0.1253611201172666,1.194623947143555,14,0,0,180,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,328,330
Varigonda,14.391492,80.044168,28_515_shc_2025-26.3305,75.0,9.2,31.0,0.3,0.0603833347558975,0.085466668009758,0.1248750016093254,0.1325999945402145,0.2144999951124191,0.2918333411216736,0.3658249974250793,0.374266654253006,0.3932666778564453,0.382999986410141,0.3407999873161316,0.2093500047922134,0.4767854809761047,0.2713581919670105,0.3951728978634671,0.3600278050759366,0.9105806946754456,13,5,111,165,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,342,324,334
Tegacherla,14.392,79.418,28_515_shc_2025-26.10370,163.0,24.6,372.4,0.27,0.0720312520861625,0.0640000030398368,0.102860003709793,0.0942666679620742,0.1712000072002411,0.2861666679382324,0.3173333406448364,0.3318333327770233,0.34293332695961,0.308763325214386,0.2929666638374328,0.2180400043725967,0.5575373768806458,0.3193293809890747,0.4190085378971137,0.3847856569895577,0.8828729391098022,121,3,19,177,0.1908971217640659,303.37220864546924,302.636809600027,0.0007719350810813,351,252,397
Tegacherla,14.392,79.418,28_515_shc_2025-26.10361,13.0,17.7,366.2,0.27,0.0720312520861625,0.0640000030398368,0.102860003709793,0.0942666679620742,0.1712000072002411,0.2861666679382324,0.3173333406448364,0.3318333327770233,0.34293332695961,0.308763325214386,0.2929666638374328,0.2180400043725967,0.5575373768806458,0.3193293809890747,0.4190085378971137,0.3847856569895577,0.8828729391098022,121,3,19,177,0.1908971217640659,303.37220864546924,302.636809600027,0.0007719350810813,351,252,397
