Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Potential_ET,Actual_ET,Climate_Water_Deficit,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Katepalle,14.895,79.595,28_515_shc_2024-25.18219,176.0,42.6,167.9,0.52,0.0342999994754791,0.0414000004529953,0.060199998319149,0.0802000015974044,0.1472499966621399,0.210449993610382,0.2376500070095062,0.2492000013589859,0.2646999955177307,0.2408500015735626,0.2966499924659729,0.2194000035524368,0.5130540132522583,0.2571572959423065,0.2975561639260583,0.3056426317081905,1.1904093027114868,94,1,180,180,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.75,946.1666666666666,469.5833333333333,285,313,402
Kesavaram,14.895,79.775,28_515_shc_2024-25.19553,226.0,25.1,529.5,0.22,0.0355499982833862,0.0509999990463256,0.0752499997615814,0.1032000035047531,0.1389999985694885,0.1905499994754791,0.2168000042438507,0.2205999940633773,0.2245000004768371,0.2400999963283538,0.2687999904155731,0.1983000040054321,0.3625694513320923,0.2269187867641449,0.2013998297649979,0.2137654604974339,1.2184950113296509,48,1,46,177,0.283011966281467,303.0567177242703,302.3209507836236,0.0009554048665878,1418.9166666666667,930.3333333333334,488.8333333333333,311,308,381
Gudladona,14.902,79.562,28_515_shc_2024-25.22915,151.0,85.2,135.6,0.21,0.0770500004291534,0.1040999963879585,0.1400000005960464,0.1797000020742416,0.196600005030632,0.2314999997615814,0.2538000047206878,0.2601999938488006,0.2748999893665313,0.271450012922287,0.3111999928951263,0.2572000026702881,0.1829961240291595,0.1392294019460678,0.1292010240574442,0.1284711013784549,1.1960030794143677,92,1,90,177,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1414.4166666666667,947.8333333333334,466.6666666666667,307,279,414
Kesavaram,14.902,79.788,28_515_shc_2024-25.2094,88.0,42.6,458.5,0.54,0.0813999995589256,0.0790000036358833,0.1120999976992607,0.1486999988555908,0.1865500062704086,0.2337999939918518,0.2614499926567077,0.2662000060081482,0.2908500134944916,0.3034000098705292,0.3484500050544739,0.2924000024795532,0.2832007706165313,0.1759248971939087,0.1875918150315278,0.1926440155119312,1.3089781999588013,46,1,134,177,0.283011966281467,303.0567177242703,302.3209507836236,0.0009554048665878,1418.9166666666667,930.3333333333334,488.8333333333333,302,317,381
China Annaluru,14.908,79.648,28_515_shc_2024-25.23154,125.0,22.9,109.8,0.77,0.0719000026583671,0.0979499965906143,0.1222999989986419,0.1485999971628189,0.1677500009536743,0.2253500074148178,0.2558499872684479,0.2587999999523163,0.2808499932289123,0.2846499979496002,0.296750009059906,0.2378499954938888,0.2704958319664001,0.2134567946195602,0.1945930711587475,0.1821688392217088,1.1466383934020996,73,3,199,183,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1413.6666666666667,942.5,471.1666666666667,314,263,423
Theddupadu,14.912,79.418,28_515_shc_2024-25.12861,50.0,35.0,39.0,0.15,0.0489999987185001,0.0522000007331371,0.0727000012993812,0.0873999968171119,0.147949993610382,0.2300499975681305,0.2673499882221222,0.243599995970726,0.290149986743927,0.2982999980449676,0.2825500071048736,0.192900002002716,0.4719033241271972,0.2442855387926101,0.2836905237956508,0.2819494594029919,1.159893274307251,116,1,270,183,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1414.9166666666667,932.9166666666666,482.0,334,269,398
Thummalapenta,14.912,80.042,28_515_shc_2024-25.16116,88.0,110.3,316.4,0.36,0.0888499990105629,0.1137999966740608,0.1536999940872192,0.1969999969005584,0.25,0.3082500100135803,0.3495999872684479,0.3535999953746795,0.3806500136852264,0.3760499954223633,0.4411500096321106,0.35835000872612,0.2844170033931732,0.1716368347406387,0.2327447808004176,0.2235865214528215,1.2475961446762085,9,4,134,171,0.1447519938151041,303.0208995819092,302.24942843119305,0.0010499218377364,1452.0833333333333,900.3333333333334,552.0,292,372,336
Theddupadu,14.912415,79.42392,28_515_shc_2024-25.17868,50.0,70.0,52.0,0.14,0.0430999994277954,0.0641999989748001,0.093299999833107,0.12950000166893,0.1413500010967254,0.194700002670288,0.2213999927043914,0.1958999931812286,0.2396499961614608,0.2782500088214874,0.2580499947071075,0.1995999962091446,0.204056516289711,0.1617494225502014,0.1113047992284607,0.1206687519867613,1.3172537088394165,112,3,161,177,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1414.9166666666667,932.9166666666666,482.0,328,286,387
China Annaluru,14.915,79.705,28_515_shc_2024-25.23107,100.0,131.0,245.4,0.54,0.0384999997913837,0.0474000014364719,0.0773999989032745,0.1159999966621398,0.1473000049591064,0.1870000064373016,0.2057999968528747,0.2108000069856643,0.2207999974489212,0.2166000008583068,0.2619000077247619,0.2170999944210052,0.2900857031345367,0.1773247718811035,0.1527751108406858,0.1719884069398967,1.2424098253250122,60,3,0,180,0.3329402499728732,303.0987750159369,302.3625903235542,0.0009268078916268,1410.9166666666667,936.6666666666666,474.4166666666667,312,293,394
Gottigundala,14.915923,79.585342,28_515_shc_2024-25.10278,213.0,1.1,167.9,0.23,0.0427000001072883,0.0633499994874,0.0965500026941299,0.1387999951839447,0.1831499934196472,0.2248000055551529,0.2526000142097473,0.2658999860286712,0.2847999930381775,0.2927500009536743,0.3483000099658966,0.2554500102996826,0.3140597939491272,0.1842779070138931,0.1957100748342652,0.2107328288119912,1.3098909854888916,89,2,270,186,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.75,946.1666666666666,469.5833333333333,288,321,391
Gottigundala,14.917177,79.584242,28_515_shc_2024-25.17100,125.0,164.0,155.0,0.35,0.0412999987602233,0.0531000010669231,0.0810000002384185,0.0962999984622001,0.1386999934911728,0.2030999958515167,0.2299000024795532,0.2474000006914138,0.2506999969482422,0.2750000059604645,0.2581999897956848,0.1917999982833862,0.4396275877952575,0.2815333008766174,0.2647254703744918,0.2686381457522723,1.043653964996338,86,2,90,174,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.0,953.3333333333334,461.5833333333333,285,325,390
Kothapeta,14.918,79.472,28_515_shc_2024-25.2532,138.0,117.0,122.0,1.11,0.0595000013709068,0.0842000022530555,0.131400004029274,0.2158000022172927,0.2556999921798706,0.2836000025272369,0.3118000030517578,0.3107999861240387,0.3368000090122223,0.3418000042438507,0.4185999929904938,0.3537999987602234,0.1804025620222091,0.0972638949751854,0.1203079691346231,0.1388076928486574,1.3468469381332395,112,2,0,180,0.215834723578559,302.9486393822564,302.2358433617486,0.0008760792813239,1411.1666666666667,953.8333333333334,457.3333333333333,304,293,402
Thummalapenta,14.918,80.042,28_515_shc_2024-25.16054,213.0,47.0,187.3,0.77,0.0988499969244003,0.1238999962806701,0.1693000048398971,0.2196000069379806,0.261350005865097,0.3124000132083893,0.335999995470047,0.3504000008106231,0.3716999888420105,0.377700001001358,0.4430499970912933,0.3857499957084656,0.229473665356636,0.1455659866333007,0.1880661230506175,0.183364476063687,1.2644120454788208,6,1,314,183,0.1447519938151041,303.0208995819092,302.24942843119305,0.0010499218377364,1455.0833333333333,905.3333333333334,549.6666666666666,293,374,332
Theddupadu,14.92246,79.419639,28_515_shc_2024-25.5490,50.0,164.0,116.0,0.45,0.0504000000655651,0.0745500028133392,0.1112999990582466,0.1665000021457672,0.2098000049591064,0.2540000081062317,0.2748500108718872,0.2815999984741211,0.30239999294281,0.2915500104427337,0.3736000061035156,0.2903499901294708,0.2568623125553131,0.1461131274700164,0.1671531636828003,0.1821010382656349,1.3267046213150024,110,2,296,186,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,339,286,375
Theddupadu,14.926259,79.433269,28_515_shc_2024-25.12886,138.0,62.0,58.0,0.45,0.045899998396635,0.0584000013768672,0.0886500030755996,0.1020999997854232,0.1620499938726425,0.2269999980926513,0.2512499988079071,0.2662999927997589,0.2763000130653381,0.265749990940094,0.2864499986171722,0.2016499936580658,0.4457111656665802,0.2433757483959198,0.2848913789269513,0.2836250479324407,1.0756665468215942,107,1,270,183,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,313,306,382
Settipalem,14.928,79.678,28_515_shc_2024-25.6312,151.0,137.6,484.3,0.18,0.0394000001251697,0.0571999996900558,0.0877000018954277,0.1438000053167343,0.1650999933481216,0.2032999992370605,0.2273000031709671,0.2339999973773956,0.240799993276596,0.2569000124931335,0.2976999878883362,0.2536999881267547,0.2387506365776062,0.1726384460926056,0.1352080440572952,0.1541353243059141,1.2722221612930298,61,2,0,180,0.3329402499728732,303.0987750159369,302.3625903235542,0.0009268078916268,1425.25,945.1666666666666,480.0833333333333,306,302,392
Maddurupadu (Part),14.928,79.988,28_515_shc_2024-25.15891,138.0,99.0,64.0,0.53,0.0420500002801418,0.0524500012397766,0.0822999998927116,0.0790999978780746,0.1419000029563903,0.2406000047922134,0.2782999873161316,0.2901000082492828,0.3064000010490417,0.3147999942302704,0.2816999852657318,0.1783500015735626,0.5715059638023376,0.3430555462837219,0.3846644896205681,0.3641279490631272,0.9710443615913392,15,0,0,180,0.1447519938151041,303.0208995819092,302.24942843119305,0.0010499218377364,1433.9166666666667,914.9166666666666,519.0,310,333,356
Gottigundala,14.92869,79.589899,28_515_shc_2024-25.7025,176.0,137.6,187.3,1.3,0.0547499991953372,0.0750000029802322,0.1013000011444091,0.1351000070571899,0.1852000057697296,0.2484000027179718,0.2901000082492828,0.2845999896526336,0.3127999901771545,0.2971999943256378,0.317900002002716,0.2465499937534332,0.3562067747116089,0.211579367518425,0.2438506910268842,0.2438294821087393,1.1170064210891724,80,1,90,177,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.0,953.3333333333334,461.5833333333333,301,289,410
Thamidapadu,14.932,79.548,28_515_shc_2024-25.20864,213.0,1.1,174.3,0.45,0.0439000017940998,0.0696500018239021,0.1033999994397163,0.1701000034809112,0.201100006699562,0.2358500063419342,0.2574000060558319,0.2739999890327453,0.272049993276596,0.2522999942302704,0.3552500009536743,0.2868500053882599,0.233956292271614,0.1534413397312164,0.1465671483196727,0.1650778302760094,1.2965328693389893,95,2,27,177,0.215834723578559,302.9486393822564,302.2358433617486,0.0008760792813239,1428.0833333333333,958.0,470.0833333333333,292,305,403
Gottigundala,14.932973,79.595435,28_515_shc_2024-25.10095,151.0,157.2,187.3,0.44,0.045049998909235,0.0470499992370605,0.0733999982476234,0.0648500025272369,0.1189000010490417,0.2644500136375427,0.3418000042438507,0.3528000116348266,0.3822500109672546,0.3360500037670135,0.19930000603199,0.1107999980449676,0.6894528865814209,0.4958660304546356,0.5182592148557673,0.4706859990143295,0.5649092793464661,80,2,296,186,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.0,953.3333333333334,461.5833333333333,307,293,400
Theddupadu,14.933349,79.444278,28_515_shc_2024-25.12949,100.0,164.0,64.0,0.14,0.0425000004470348,0.0432999990880489,0.0715999975800514,0.0662000030279159,0.131300002336502,0.2144999951124191,0.2540000081062317,0.2766000032424927,0.2793999910354614,0.2878000140190124,0.2508000135421753,0.1629000008106231,0.6137689352035522,0.3562147617340088,0.3899039987560145,0.3744660630918484,0.9067245721817015,100,3,19,177,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,315,286,399
Gottigundala,14.933592,79.595534,28_515_shc_2024-25.6937,151.0,164.0,155.0,0.13,0.0595000013709068,0.1093000024557113,0.1435000002384185,0.1881999969482422,0.2032999992370605,0.2377499938011169,0.2592999935150146,0.2854000031948089,0.288349986076355,0.2838500142097473,0.3490000069141388,0.2844499945640564,0.2052364945411682,0.167996734380722,0.1523654392110697,0.1497535017958378,1.222845196723938,80,4,226,189,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.0,953.3333333333334,461.5833333333333,307,293,400
Thimmapuram,14.933602,79.449083,28_515_shc_2024-25.21311,188.0,164.0,45.0,0.22,0.0509499981999397,0.0710999965667724,0.1013000011444091,0.1490000039339065,0.1894499957561493,0.2347999960184097,0.2578000128269195,0.26460000872612,0.291049987077713,0.2937999963760376,0.3736500144004822,0.2852999866008758,0.2794970870018005,0.1655104309320449,0.1778078577867368,0.1897986041872425,1.4121315479278564,103,2,244,186,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,306,298,396
Thimmapuram,14.933771,79.447248,28_515_shc_2024-25.20056,100.0,129.0,109.0,0.26,0.0410499982535839,0.0580499991774559,0.0833000019192695,0.1061000004410743,0.1475500017404556,0.1980500072240829,0.2216999977827072,0.2286999970674514,0.2475000023841858,0.252700001001358,0.2788499891757965,0.2158000022172927,0.3661887645721435,0.2156810462474823,0.2143468995261601,0.2202922801729973,1.219282865524292,102,2,270,186,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,306,298,396
Theddupadu,14.934277,79.418765,28_515_shc_2024-25.5291,163.0,138.0,97.0,0.39,0.0558499991893768,0.0706999972462654,0.1080999970436096,0.1595000028610229,0.2318499982357025,0.3023500144481659,0.3243499994277954,0.3185999989509582,0.3432500064373016,0.3413499891757965,0.388399988412857,0.321150004863739,0.3327755630016327,0.1575983315706253,0.2278912435014485,0.2439934502533395,1.2190834283828735,105,1,134,177,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,331,276,394
Theddupadu,14.935206,79.417804,28_515_shc_2024-25.13001,151.0,17.0,71.0,0.25,0.0524999983608722,0.0706499963998794,0.1075000017881393,0.1512999981641769,0.2061499953269958,0.2954500019550323,0.3283999860286712,0.3283999860286712,0.3452500104904175,0.3401499986648559,0.3596999943256378,0.2824999988079071,0.36918905377388,0.2286970317363739,0.2594757558721148,0.2711544208256819,1.0953105688095093,103,3,108,171,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,329,277,394
Gottigundala,14.935438,79.590798,28_515_shc_2024-25.7238,326.0,34.9,245.4,0.61,0.0723000019788742,0.1428000032901764,0.1729000061750412,0.2115000039339065,0.240349993109703,0.26910001039505,0.293749988079071,0.3084000051021576,0.3171499967575073,0.3240000009536743,0.3947499990463257,0.3355000019073486,0.186381995677948,0.1240091323852539,0.1608138623690019,0.1425139724135808,1.2799935340881348,78,1,46,177,0.224213155110677,303.006392203437,302.2907424502903,0.0009076777763588,1415.0,953.3333333333334,461.5833333333333,306,278,416
Thimmapuram,14.936978,79.443841,28_515_shc_2024-25.20255,75.0,164.0,148.0,0.11,0.0419000014662742,0.0563500002026557,0.0842999964952468,0.0844999998807907,0.1386999934911728,0.2057500034570694,0.2316000014543533,0.2615000009536743,0.258899986743927,0.2544000148773193,0.2734000086784363,0.1891999989748001,0.5115606784820557,0.3068465888500213,0.328782392944028,0.3138297888267676,1.045506715774536,98,2,296,186,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,340,269,391
Theddupadu,14.937738,79.418503,28_515_shc_2024-25.5838,125.0,70.0,122.0,0.02,0.0401000007987022,0.0608999989926815,0.0872500017285347,0.0961999967694282,0.148049995303154,0.2396000027656555,0.2873499989509582,0.2845000028610229,0.3217000067234039,0.3172999918460846,0.2658999860286712,0.1722999960184097,0.4946151971817016,0.3154548704624176,0.335065317793296,0.3207108087384017,0.9346221089363098,105,3,123,171,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,329,273,398
Theddupadu,14.939257,79.441482,28_515_shc_2024-25.19010,113.0,27.0,64.0,0.11,0.0518499985337257,0.0645999982953071,0.091899998486042,0.1036999970674514,0.1613499969244003,0.22325000166893,0.2538999915122986,0.2694000005722046,0.2853499948978424,0.2890500128269195,0.3012000024318695,0.1996500045061111,0.444116860628128,0.2508415579795837,0.2943998365500085,0.2846753017169411,1.1180400848388672,94,2,270,186,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1408.75,937.3333333333334,471.5,341,272,388
