Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.368,80.042,28_515_shc_2024-25.8089,Penubarthi,151.0,33.0,105.3,0.27
14.375,80.055,28_515_shc_2025-26.6794,Varigonda,50.0,32.3,12.0,0.41
14.382,79.728,28_515_shc_2023-24.6694,Prabagiripatnam,201.0,35.3,316.6,0.44
14.382,80.118,28_515_shc_2025-26.7734,Eduru - I,88.0,63.0,192.0,0.11
14.382,80.118,28_515_shc_2025-26.6705,Eduru - I,151.0,48.38,105.0,0.26
14.382,80.118,28_515_shc_2025-26.6792,Eduru - I,88.0,34.6,329.0,0.16
14.385,79.415,28_515_shc_2025-26.2038,Tegacherla,50.0,10.0,304.2,0.11
14.385,80.105,28_515_shc_2025-26.3914,Thotapalle,163.0,40.7,199.0,0.21
14.388,80.142,28_515_shc_2025-26.10115,Koduru Khandrika,38.0,22.3,335.0,0.1
14.390169,80.036942,28_515_shc_2025-26.3204,Varigonda,138.0,13.1,25.0,0.2
14.390169,80.036942,28_515_shc_2025-26.8197,Varigonda,50.0,13.1,12.0,0.53
14.390169,80.036942,28_515_shc_2025-26.982,Varigonda,113.0,16.9,12.0,0.25
14.390691,80.044918,28_515_shc_2025-26.3604,Varigonda,151.0,27.6,19.0,0.42
14.391096,80.03992,28_515_shc_2025-26.11616,Varigonda,50.0,15.4,130.0,0.36
14.391189,80.035932,28_515_shc_2025-26.11051,Varigonda,151.0,56.83,552.0,0.24
14.391492,80.044168,28_515_shc_2025-26.3305,Varigonda,75.0,9.2,31.0,0.3
14.392,79.418,28_515_shc_2025-26.10370,Tegacherla,163.0,24.6,372.4,0.27
14.392,79.418,28_515_shc_2025-26.10361,Tegacherla,13.0,17.7,366.2,0.27
14.392,79.418,28_515_shc_2025-26.10381,Tegacherla,188.0,33.0,289.0,0.26
14.392788,80.056896,28_515_shc_2025-26.3145,Varigonda,63.0,20.7,31.0,0.15
14.394,80.0441,28_515_shc_2025-26.11050,Varigonda,163.0,35.3,521.0,0.16
14.394638,80.047701,28_515_shc_2025-26.1409,Varigonda,213.0,38.4,199.0,0.35
14.394638,80.047701,28_515_shc_2025-26.9140,Varigonda,125.0,24.6,143.0,0.45
14.398,80.138,28_515_shc_2025-26.9154,Koduru Khandrika,113.0,43.78,528.0,0.17
14.402,79.802,28_515_shc_2024-25.9566,Marupuru,213.0,90.6,453.0,0.13
14.402,80.072,28_515_shc_2025-26.7843,T.P.Gudur Bit-II,88.0,1.5,596.0,0.48
14.402703,80.054677,28_515_shc_2025-26.10864,Varigonda,163.0,16.9,43.0,0.27
14.403007,80.091723,28_515_shc_2025-26.1460,Thotapalle,113.0,38.4,136.0,0.05
14.406439,80.109782,28_515_shc_2025-26.3495,Thotapalle,75.0,29.2,56.0,0.24
14.407355,80.088475,28_515_shc_2025-26.3167,Thotapalle,138.0,23.8,317.0,0.12
14.407813,80.049023,28_515_shc_2025-26.10865,Varigonda,176.0,32.3,37.0,0.45
14.407988,80.03929,28_515_shc_2025-26.10725,Varigonda,238.0,17.7,472.0,0.36
14.408,80.058,28_515_shc_2025-26.6679,T.P.Gudur Bit-II,38.0,9.2,422.0,0.23
14.408,80.142,28_515_shc_2025-26.1128,Koduru -II,50.0,44.54,186.0,0.22
14.408,80.142,28_515_shc_2025-26.3978,Koduru -II,75.0,40.7,143.0,0.3
14.408822,80.041498,28_515_shc_2025-26.10742,Varigonda,176.0,20.7,515.0,0.26
14.412,80.042,28_515_shc_2025-26.10759,Varigonda,63.0,30.0,341.0,0.23
14.412,80.138,28_515_shc_2025-26.1371,Koduru -II,63.0,34.6,341.0,0.09
14.413885,80.097779,28_515_shc_2025-26.21,Thotapalle,75.0,67.6,168.0,0.18
14.413885,80.097779,28_515_shc_2025-26.23,Thotapalle,3.0,25.3,174.0,0.24
14.414483,80.09593,28_515_shc_2025-26.28,Thotapalle,50.0,13.8,236.0,0.2
