Point_ID,Latitude,Longitude,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI
Point_63,15.135141,79.956606,201.0,10.0,42.1,0.8,558.0,622.5,951.5,888.5,1573.0,2728.0,3181.0,3290.0,3561.5,3582.0,2291.5,1366.5,0.5747277731243269,0.3530742340119268,1.5186871561373552,0.8619885139985641
Point_64,15.136814,79.956172,314.0,1.8,35.1,0.68,493.5,639.0,964.5,854.5,1557.0,2881.0,3404.0,3527.0,3863.5,3797.0,2111.5,1158.0,0.6099509300467876,0.3874901652242329,1.7297734627831716,0.9148219990871748
Point_65,15.138285,79.956563,351.0,22.3,56.2,0.32,456.0,616.5,962.5,980.0,1489.0,2582.5,3062.5,3375.0,3473.0,3199.5,2276.5,1307.5,0.5499425947187141,0.38774671052631576,1.2925684062820444,0.8248191941223741
Point_66,15.139812,79.955867,50.0,13.5,42.1,0.17,504.5,662.0,906.5,807.5,1640.0,2938.0,3383.5,3445.5,3840.0,3784.5,2232.5,1165.5,0.6202680460851164,0.35502900403106874,1.9825642567262889,0.9302927001293052
Point_67,15.139333,79.953684,289.0,36.42,49.2,0.19,481.5,538.0,874.0,753.0,1473.0,2769.5,3359.0,3474.0,3776.0,3753.0,2238.0,1245.0,0.6437189496096523,0.40448756822316556,1.7186710459828198,0.9654642223536369
Point_68,15.13861,79.953608,125.0,31.72,49.2,0.11,475.5,620.5,943.5,928.0,1477.5,2756.5,3146.5,3357.5,3572.0,3617.5,2274.0,1320.0,0.5669116789172792,0.38883143743536713,1.421508396231935,0.850268315445637
Point_69,15.137708,79.953227,188.0,11.2,49.2,0.28,501.5,576.0,878.0,819.0,1473.0,2697.0,3185.0,3208.0,3499.0,3640.0,2122.5,1192.5,0.593245592252297,0.3706472975859859,1.5704706810412832,0.88975791433892
Point_70,15.137242,79.955061,314.0,1.8,35.1,0.68,490.0,711.0,1030.0,1037.5,1633.0,2636.0,3124.0,3372.0,3520.0,3649.0,2282.5,1253.0,0.5294251048871754,0.34745254745254744,1.368245223303247,0.7940476190476191
Point_71,15.136816,79.956164,314.0,1.8,35.1,0.68,493.5,644.5,978.0,886.0,1557.0,2881.0,3404.0,3592.0,3863.5,3797.0,2111.5,1158.0,0.6042876284055382,0.39522237327636434,1.660020857616097,0.9063302445015071
Point_72,15.136284,79.954827,314.0,1.8,35.1,0.68,497.5,636.0,1007.0,1072.0,1596.5,2293.0,2725.0,2428.5,2926.5,2993.0,2197.5,1368.0,0.387516069132981,0.20670807453416148,0.8288524990834657,0.581191088260497
Point_73,15.130206,79.95269,263.0,135.0,42.1,0.23,305.0,473.0,693.5,755.0,1103.5,2062.0,2337.0,2075.0,2516.0,2473.5,1985.5,1233.0,0.4664310954063604,0.3056473179172566,1.0789602746444336,0.6995230524642289
Point_74,15.129115,79.95032,314.0,5.9,49.2,0.18,322.5,457.5,732.0,686.0,1195.5,2098.5,2330.5,2431.5,2505.0,2651.0,2160.5,1323.0,0.5599037690457097,0.34077750206782464,1.3998716817707915,0.8397209749839641
Point_75,15.121267,79.944503,289.0,3.5,28.1,0.69,348.0,387.5,742.5,919.0,1609.5,2210.0,2466.5,2505.5,2553.0,2541.0,2830.5,2031.5,0.46327931084829904,0.21773997569866343,0.7755291587231754,0.6948175182481752
Point_76,14.78426,79.723388,113.0,14.6,229.7,0.14,598.5,693.5,954.0,1153.0,1611.5,2208.0,2546.5,2553.5,2833.0,2824.0,3009.0,2343.5,0.3778497234587886,0.2261704681872749,0.8197249048873281,0.5666981386565957
Point_77,15.13483,79.960088,88.0,76.9,35.1,0.26,644.0,777.5,1093.0,1291.0,2132.0,2475.0,2599.5,2320.5,2672.0,2691.0,3182.5,2693.5,0.28506160874982694,0.042335766423357665,0.6075538506934198,0.42753322259136206
Point_78,14.851277,79.953842,113.0,14.6,434.0,0.14,453.0,575.0,995.0,1032.5,1623.5,2048.0,2192.0,2200.5,2335.0,2320.5,2036.0,1313.0,0.3612743581812558,0.15088912133891214,0.7149853085210578,0.5418277408381011
