system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,K,N,OC,P,sample_id,.geo
657,449.5,3035.0,1948.5,611.5,931.0,881.5,1499.0,2475.0,2786.5,2936.0,3082.0,3185.0,260.7,13,0.46,1.5,658,"{""type"":""Point"",""coordinates"":[79.527182,14.211261000000002]}"
658,517.0,2973.0,2045.5,541.0,816.5,852.0,1593.5,2430.5,2737.5,2764.0,3039.5,3175.0,260.7,13,0.46,1.5,659,"{""type"":""Point"",""coordinates"":[79.527879,14.210783999999999]}"
659,535.5,2995.0,1954.5,571.0,830.0,906.5,1532.0,2368.0,2624.5,2698.0,2958.0,3151.0,260.7,13,0.46,1.5,660,"{""type"":""Point"",""coordinates"":[79.529015,14.210643000000001]}"
660,560.0,3313.0,2319.5,749.5,1138.0,1257.0,1875.0,2773.0,3151.5,3243.5,3485.0,3483.0,409.7,213,0.43,3.8,661,"{""type"":""Point"",""coordinates"":[79.529843,14.210690000000001]}"
661,534.0,3328.5,2237.5,652.0,973.0,1172.0,1837.5,2540.0,2990.5,2912.5,3338.5,3177.5,409.7,213,0.43,3.8,662,"{""type"":""Point"",""coordinates"":[79.529664,14.210407]}"
662,542.0,2788.5,1782.5,514.5,813.0,740.0,1331.5,2317.0,2643.0,2833.0,2919.0,3128.5,260.7,13,0.46,1.5,663,"{""type"":""Point"",""coordinates"":[79.528967,14.209825000000002]}"
663,345.5,1962.5,1130.5,384.5,663.5,509.0,1106.0,2139.5,2407.0,2558.5,2636.5,2870.5,322.8,113,0.23,9.2,664,"{""type"":""Point"",""coordinates"":[79.529405,14.212576000000002]}"
664,558.0,3239.0,2687.0,942.0,1288.0,1568.0,1756.0,2208.0,2419.0,2452.0,2611.0,2681.0,403.5,50,0.25,8.4,665,"{""type"":""Point"",""coordinates"":[79.569911,14.197923000000001]}"
665,586.0,3712.5,2895.0,798.0,1198.0,1423.0,1916.0,2365.0,2543.5,2657.0,2857.5,2822.0,620.7,38,0.16,13.1,666,"{""type"":""Point"",""coordinates"":[79.573126,14.20398]}"
666,586.0,3712.5,2895.0,800.0,1224.0,1603.0,1916.0,2365.0,2543.5,2646.5,2857.5,2822.0,620.7,38,0.16,13.1,667,"{""type"":""Point"",""coordinates"":[79.573047,14.203876999999999]}"
667,652.0,3352.0,2977.0,1286.5,1592.5,1810.0,1993.0,2368.0,2572.0,2804.0,2779.5,2637.0,620.7,138,0.56,13.8,668,"{""type"":""Point"",""coordinates"":[79.570096,14.204253000000001]}"
668,542.5,3594.5,2636.0,565.0,872.5,964.0,1799.5,2461.0,2893.0,2797.5,3219.5,3135.0,620.7,188,0.16,10,669,"{""type"":""Point"",""coordinates"":[79.566898,14.205787]}"
669,542.5,3595.5,2640.0,625.0,952.0,1117.0,1757.0,2356.5,2705.0,2857.5,3096.0,3135.0,620.7,188,0.16,10,670,"{""type"":""Point"",""coordinates"":[79.567131,14.205731]}"
670,542.5,3595.5,2640.0,625.0,952.0,1117.0,1757.0,2356.5,2705.0,2857.5,3096.0,3135.0,620.7,188,0.16,10,671,"{""type"":""Point"",""coordinates"":[79.567221,14.205767999999999]}"
671,542.5,3595.5,2640.0,625.0,952.0,1117.0,1757.0,2356.5,2705.0,2857.5,3096.0,3135.0,620.7,188,0.16,10,672,"{""type"":""Point"",""coordinates"":[79.567221,14.205738999999998]}"
672,542.5,3595.5,2640.0,698.0,1046.0,1224.5,1757.0,2356.5,2705.0,2887.0,3096.0,3135.0,620.7,188,0.16,10,673,"{""type"":""Point"",""coordinates"":[79.56715,14.205673]}"
673,588.5,3486.5,2651.5,636.0,945.0,1071.0,1733.0,2390.5,2819.0,2702.0,3190.5,3322.5,620.7,188,0.16,10,674,"{""type"":""Point"",""coordinates"":[79.567583,14.205526999999998]}"
674,588.5,3486.5,2651.5,692.0,990.0,1244.0,1733.0,2390.5,2819.0,2925.0,3190.5,3322.5,620.7,188,0.16,10,675,"{""type"":""Point"",""coordinates"":[79.567534,14.205483]}"
675,588.5,3486.5,2651.5,710.0,1044.5,1157.5,1733.0,2390.5,2819.0,2868.0,3190.5,3322.5,620.7,188,0.16,10,676,"{""type"":""Point"",""coordinates"":[79.567602,14.205465]}"
676,527.0,3422.5,2539.0,748.5,1117.5,1390.0,1693.5,2427.5,2802.0,3032.5,3137.5,2991.5,620.7,188,0.16,10,677,"{""type"":""Point"",""coordinates"":[79.56762,14.20541]}"
677,527.0,3422.5,2539.0,740.0,1116.5,1446.5,1693.5,2427.5,2802.0,3104.0,3137.5,2991.5,620.7,188,0.16,10,678,"{""type"":""Point"",""coordinates"":[79.567549,14.205392]}"
678,527.0,3422.5,2539.0,729.0,1070.0,1281.5,1693.5,2427.5,2802.0,2900.5,3137.5,2991.5,620.7,188,0.16,10,679,"{""type"":""Point"",""coordinates"":[79.56747400000002,14.205316000000002]}"
679,527.0,3532.0,2515.0,653.0,972.0,1184.5,1743.5,2477.5,2825.0,3005.0,3227.0,2991.5,620.7,188,0.16,10,680,"{""type"":""Point"",""coordinates"":[79.567696,14.205316000000002]}"
