N,P,K,OC
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
100.0,16.1,335.2,0.39
314.0,16.4,35.1,0.3
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
301.0,28.2,28.1,0.24
151.0,6.5,168.6,0.34
151.0,6.5,168.6,0.34
151.0,6.5,168.6,0.34
113.0,6.1,347.6,0.12
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
125.0,14.6,552.4,0.16
138.0,18.4,161.5,0.19
113.0,36.9,463.5,0.05
63.0,79.2,168.6,0.47
50.0,5.4,335.0,0.42
238.0,12.3,602.0,0.24
201.0,13.8,379.0,0.97
188.0,10.0,397.0,0.45
238.0,16.1,478.0,0.18
226.0,13.1,397.0,0.24
213.0,3.8,397.0,0.42
188.0,14.6,447.0,0.3
238.0,14.6,521.0,0.22
238.0,1.5,447.0,0.24
226.0,2.3,397.0,0.3
188.0,10.0,583.0,0.32
226.0,1.5,354.0,0.33
151.0,3.8,379.0,0.23
201.0,15.4,621.0,0.32
213.0,0.8,521.0,0.49
289.0,18.1,379.0,0.35
188.0,14.6,447.0,0.3
238.0,14.6,521.0,0.22
226.0,6.9,621.0,0.64
75.0,49.15,210.7,0.25
50.0,16.9,182.6,0.42
38.0,22.3,112.4,0.6
163.0,29.2,147.5,0.47
213.0,34.6,196.6,0.06
63.0,36.9,180.0,0.08
63.0,36.9,180.0,0.08
238.0,57.6,117.9,0.03
163.0,118.3,167.6,0.08
113.0,34.6,204.8,0.13
113.0,34.6,204.8,0.13
113.0,34.6,204.8,0.13
63.0,35.3,192.4,0.3
63.0,35.3,192.4,0.3
63.0,35.3,192.4,0.3
88.0,13.8,279.3,0.05
226.0,42.4,447.0,0.27
151.0,16.9,323.0,0.25
188.0,9.2,354.0,0.1
251.0,36.9,366.0,0.18
226.0,10.8,621.0,0.58
301.0,139.0,366.0,0.16
276.0,20.0,546.0,0.18
226.0,2.9,35.1,0.71
263.0,6.5,203.7,0.91
251.0,27.6,63.2,0.53
176.0,5.9,77.3,0.34
100.0,19.4,70.2,0.13
176.0,3.5,147.5,0.53
213.0,28.8,91.3,1.15
213.0,28.8,91.3,1.15
188.0,11.7,133.4,0.68
125.0,2.9,154.5,0.91
263.0,13.5,175.6,1.13
263.0,13.5,175.6,1.13
63.0,27.0,70.2,0.63
63.0,27.0,70.2,0.63
176.0,1.8,77.3,0.94
176.0,1.8,77.3,0.94
100.0,12.3,235.9,3.0
13.0,14.6,80.7,0.41
88.0,23.8,173.8,0.24
113.0,19.2,86.9,0.45
50.0,26.1,62.1,0.48
88.0,0.8,31.0,0.38
88.0,0.8,31.0,0.38
63.0,35.3,254.5,0.41
125.0,13.8,117.9,0.12
151.0,20.0,149.0,0.45
125.0,13.8,117.9,0.12
113.0,76.8,99.3,0.45
88.0,23.0,55.9,0.45
100.0,16.1,512.7,0.41
25.0,27.6,526.7,0.21
289.0,7.6,147.5,0.41
226.0,20.0,126.4,0.12
226.0,20.0,126.4,0.12
226.0,20.0,126.4,0.12
226.0,20.0,126.4,0.12
176.0,0.6,35.1,0.12
38.0,5.9,35.1,0.24
38.0,5.9,35.1,0.24
38.0,5.9,35.1,0.24
38.0,5.9,35.1,0.24
38.0,5.9,35.1,0.24
151.0,8.8,105.3,0.16
263.0,13.5,56.2,0.18
301.0,29.4,35.1,0.12
251.0,5.3,56.2,0.18
251.0,5.3,56.2,0.18
251.0,5.3,56.2,0.18
138.0,10.0,77.3,0.31
138.0,10.0,77.3,0.31
138.0,10.0,77.3,0.31
138.0,10.0,77.3,0.31
138.0,10.0,77.3,0.31
138.0,10.0,77.3,0.31
276.0,7.0,56.2,0.14
263.0,2.9,63.2,0.09
289.0,17.6,56.2,0.38
