Aspect_deg,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Clay_Fraction_g_kg,EVI,Elevation_m,Feature_ID,Hillshade,K,LST_K,Latitude,Longitude,N,NDRE,NDVI,OC,P,Precipitation_Mean_m,SAVI,SWIR_Ratio,Sand_Fraction_g_kg,Silt_Fraction_g_kg,Slope_deg,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,Village
90,0.05583333224058151,0.2899250090122223,0.20016667246818542,0.06584999710321426,0.09645000100135803,0.10520000010728836,0.1522500067949295,0.24651999771595,0.2767750024795532,0.28345000743865967,0.3086000084877014,0.298633337020874,319,0.31364924705113956,33,28_515_shc_2025-26.6815,177,111.7,303.0659317217375,14.152696,79.703033,125.0,0.301124632358551,0.45863887667655945,0.1,20.7,0.0008190243098064764,0.3008777457116403,1.022843599319458,363,318,1,0.21051701328210665,303.8115975229364,Thippireddipalle
90,0.05583333224058151,0.2899250090122223,0.20016667246818542,0.06584999710321426,0.09645000100135803,0.10520000010728836,0.1522500067949295,0.24651999771595,0.2767750024795532,0.28345000743865967,0.3086000084877014,0.298633337020874,319,0.31364924705113956,33,28_515_shc_2025-26.7066,177,329.0,303.0659317217375,14.152696,79.703033,113.0,0.301124632358551,0.45863887667655945,0.46,10.0,0.0008190243098064764,0.3008777457116403,1.022843599319458,363,318,1,0.21051701328210665,303.8115975229364,Lingasamudram
90,0.05583333224058151,0.2899250090122223,0.20016667246818542,0.06584999710321426,0.09645000100135803,0.10520000010728836,0.1522500067949295,0.24651999771595,0.2767750024795532,0.28345000743865967,0.3086000084877014,0.298633337020874,319,0.31364924705113956,33,28_515_shc_2025-26.6804,177,403.5,303.0659317217375,14.152696,79.703033,13.0,0.301124632358551,0.45863887667655945,0.1,10.0,0.0008190243098064764,0.3008777457116403,1.022843599319458,363,318,1,0.21051701328210665,303.8115975229364,Samudralavari Khandrika
116,0.05835000053048134,0.22544999420642853,0.13635000586509705,0.044725000858306885,0.0648166686296463,0.060474999248981476,0.11159999668598175,0.225150004029274,0.2639875113964081,0.26190000772476196,0.29778334498405457,0.3666499853134155,331,0.39056669538730837,58,28_515_shc_2025-26.2284,174,136.6,302.9800456197638,14.155,79.595,151.0,0.4024096727371216,0.624815821647644,0.46,18.4,0.0007555945000877731,0.3673962731740914,0.860824704170227,396,273,2,0.19181154485334428,303.7188754834627,Jorepalle
0,0.08407692611217499,0.37024998664855957,0.320250004529953,0.094760000705719,0.12608332931995392,0.15985000133514404,0.209525004029274,0.251714289188385,0.279449999332428,0.2640833258628845,0.30463001132011414,0.31474000215530396,331,0.17228838585867465,59,28_515_shc_2025-26.2313,180,204.8,302.9800456197638,14.155398,79.594032,50.0,0.11519712954759598,0.24587197601795197,0.25,11.5,0.0007555945000877731,0.16922215292933135,1.4020195007324219,398,271,1,0.19181154485334428,303.7188754834627,Jorepalle Akkamambapuram
303,0.06289999932050705,0.3052999973297119,0.20225000381469727,0.051624998450279236,0.07501111179590225,0.08123333007097244,0.14667083323001862,0.2520250082015991,0.29214999079704285,0.2939000129699707,0.33086666464805603,0.349824994802475,331,0.3813657113995688,60,28_515_shc_2025-26.2263,189,105.5,302.9800456197638,14.155667,79.594586,100.0,0.33417820930480957,0.5669095516204834,0.48,19.2,0.0007555945000877731,0.36451590707311554,1.0387886762619019,396,273,3,0.19181154485334428,303.7188754834627,Jorepalle Akkamambapuram
46,0.0793600007891655,0.39890000224113464,0.34656667709350586,0.1628199964761734,0.20600000023841858,0.2581374943256378,0.2357500046491623,0.27898332476615906,0.3100166618824005,0.3476392924785614,0.34033751487731934,0.31937143206596375,331,0.13355971318591248,58,28_515_shc_2025-26.2261,177,105.5,302.9800456197638,14.15574,79.593975,125.0,0.19179180264472961,0.14774715900421143,0.25,30.0,0.0007555945000877731,0.12141030525463328,1.147453784942627,398,271,1,0.19181154485334428,303.7188754834627,Jorepalle
46,0.0793600007891655,0.39890000224113464,0.34656667709350586,0.1628199964761734,0.20600000023841858,0.2581374943256378,0.2357500046491623,0.27898332476615906,0.3100166618824005,0.3476392924785614,0.34033751487731934,0.31937143206596375,331,0.13355971318591248,58,28_515_shc_2025-26.2267,177,49.7,302.9800456197638,14.15574,79.593975,163.0,0.19179180264472961,0.14774715900421143,0.27,10.0,0.0007555945000877731,0.12141030525463328,1.147453784942627,398,271,1,0.19181154485334428,303.7188754834627,Jorepalle
46,0.0793600007891655,0.39890000224113464,0.34656667709350586,0.1628199964761734,0.20600000023841858,0.2581374943256378,0.2357500046491623,0.27898332476615906,0.3100166618824005,0.3476392924785614,0.34033751487731934,0.31937143206596375,331,0.13355971318591248,58,28_515_shc_2025-26.2315,177,372.4,302.9800456197638,14.15574,79.593975,50.0,0.19179180264472961,0.14774715900421143,0.11,18.4,0.0007555945000877731,0.12141030525463328,1.147453784942627,398,271,1,0.19181154485334428,303.7188754834627,Jorepalle Akkamambapuram
19,0.060462500900030136,0.2851499915122986,0.17694999277591705,0.07176154106855392,0.09927777945995331,0.1090874969959259,0.16007499396800995,0.2559666633605957,0.2990500032901764,0.28644001483917236,0.3296666741371155,0.3469125032424927,331,0.31607927832793625,59,28_515_shc_2025-26.9401,177,49.7,302.9800456197638,14.156444,79.59325,13.0,0.2830028533935547,0.44839489459991455,0.2,0.8,0.0007555945000877731,0.29706376772247733,0.9954963326454163,398,271,3,0.19181154485334428,303.7188754834627,Thatipalle
270,0.053360000252723694,0.20659999549388885,0.12014999985694885,0.06502500176429749,0.09375,0.09910000115633011,0.1648000031709671,0.2753666639328003,0.33597081899642944,0.3551666736602783,0.3824999928474426,0.37942999601364136,336,0.43784679759383127,54,28_515_shc_2025-26.2057,183,273.1,302.9800456197638,14.158,79.592,100.0,0.36611321568489075,0.5636923909187317,0.34,3.1,0.0007555945000877731,0.4025080398304163,0.5816987156867981,399,264,1,0.19181154485334428,303.7188754834627,Jorepalle
270,0.053360000252723694,0.20659999549388885,0.12014999985694885,0.06502500176429749,0.09375,0.09910000115633011,0.1648000031709671,0.2753666639328003,0.33597081899642944,0.3551666736602783,0.3824999928474426,0.37942999601364136,336,0.43784679759383127,54,28_515_shc_2025-26.2254,183,49.7,302.9800456197638,14.158,79.592,50.0,0.36611321568489075,0.5636923909187317,0.41,10.8,0.0007555945000877731,0.4025080398304163,0.5816987156867981,399,264,1,0.19181154485334428,303.7188754834627,Jorepalle
19,0.04456000030040741,0.23655714094638824,0.14238333702087402,0.05602142959833145,0.0836428552865982,0.08366666734218597,0.11851999908685684,0.21287143230438232,0.25527143478393555,0.263616681098938,0.2854500114917755,0.27878332138061523,313,0.33436622729275767,19,28_515_shc_2025-26.2177,177,614.5,303.0659317217375,14.162,79.742,176.0,0.37969839572906494,0.5181648135185242,0.22,4.6,0.0008190243098064764,0.3185770393478759,0.8973526954650879,353,334,3,0.21051701328210665,303.8115975229364,Molakalapundla
19,0.04456000030040741,0.23655714094638824,0.14238333702087402,0.05602142959833145,0.0836428552865982,0.08366666734218597,0.11851999908685684,0.21287143230438232,0.25527143478393555,0.263616681098938,0.2854500114917755,0.27878332138061523,313,0.33436622729275767,19,28_515_shc_2025-26.2080,177,391.1,303.0659317217375,14.162,79.742,138.0,0.37969839572906494,0.5181648135185242,0.08,19.2,0.0008190243098064764,0.3185770393478759,0.8973526954650879,353,334,3,0.21051701328210665,303.8115975229364,Molakalapundla
19,0.04456000030040741,0.23655714094638824,0.14238333702087402,0.05602142959833145,0.0836428552865982,0.08366666734218597,0.11851999908685684,0.21287143230438232,0.25527143478393555,0.263616681098938,0.2854500114917755,0.27878332138061523,313,0.33436622729275767,19,28_515_shc_2025-26.2207,177,335.2,303.0659317217375,14.162,79.742,138.0,0.37969839572906494,0.5181648135185242,0.11,25.3,0.0008190243098064764,0.3185770393478759,0.8973526954650879,353,334,3,0.21051701328210665,303.8115975229364,Molakalapundla
116,0.05544999986886978,0.2558499872684479,0.1577499955892563,0.06599999964237213,0.09650000184774399,0.08290000259876251,0.14219999313354492,0.28235000371932983,0.3252499997615814,0.33785000443458557,0.3568499982357025,0.34700000286102295,345,0.475564255765561,68,28_515_shc_2025-26.575,168,105.5,302.9800456197638,14.171031,79.557042,50.0,0.4075617492198944,0.6059417724609375,0.31,19.2,0.0007555945000877731,0.4153407546375221,0.7572886943817139,401,255,4,0.19181154485334428,303.7188754834627,Kambhalapalle
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.11678,183,322.8,302.9800456197638,14.171091,79.555352,25.0,0.14717286825180054,0.18116852641105652,0.35,21.5,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
